,Fuel,variable,value
176,Hydro,2009,13548.7
177,Large_scale_solar_PV,2009,
178,Small_scale_solar_PV,2009,424.8
179,Geothermal,2009,0.5
180,Black_coal,2010,116948.8
181,Brown_coal,2010,55298.1
182,Natural_gas,2010,48996.7
183,Oil_products,2010,3093.8
184,Other,2010,
185,Bagasse_wood,2010,1077.0
186,Biogas,2010,1024.7
187,Wind,2010,6084.9
188,Hydro,2010,16806.7
189,Large_scale_solar_PV,2010,
190,Small_scale_solar_PV,2010,1530.5
191,Geothermal,2010,0.5
192,Black_coal,2011,116654.3
193,Brown_coal,2011,55067.7
194,Natural_gas,2011,48571.5
195,Oil_products,2011,2702.5
196,Other,2011,
197,Bagasse_wood,2011,1606.3
198,Biogas,2011,1437.4
199,Wind,2011,6969.8
200,Hydro,2011,14083.3
201,Large_scale_solar_PV,2011,
202,Small_scale_solar_PV,2011,2558.6
203,Geothermal,2011,0.5
204,Black_coal,2012,111491.1
205,Brown_coal,2012,47555.1
206,Natural_gas,2012,51053.4
207,Oil_products,2012,4464.3
208,Other,2012,
209,Bagasse_wood,2012,1714.3
210,Biogas,2012,1429.2
211,Wind,2012,7959.6
212,Hydro,2012,18269.6
213,Large_scale_solar_PV,2012,
214,Small_scale_solar_PV,2012,3826.2
215,Geothermal,2012,0.5
216,Black_coal,2013,106965.5
217,Brown_coal,2013,46076.2
218,Natural_gas,2013,54393.9
219,Oil_products,2013,5012.3
220,Other,2013,
221,Bagasse_wood,2013,2053.5
222,Biogas,2013,1445.9
223,Wind,2013,10251.9
224,Hydro,2013,18420.9
225,Large_scale_solar_PV,2013,49.7
226,Small_scale_solar_PV,2013,4366.3
227,Geothermal,2013,0.5
228,Black_coal,2014,107639.4
229,Brown_coal,2014,50970.4
230,Natural_gas,2014,52916.9
231,Oil_products,2014,6828.5
232,Other,2014,
233,Bagasse_wood,2014,2353.4
234,Biogas,2014,1238.9
235,Wind,2014,11466.5
236,Hydro,2014,13445.0
237,Large_scale_solar_PV,2014,107.2
238,Small_scale_solar_PV,2014,5424.1
239,Geothermal,2014,0.6
240,Black_coal,2015,114263.03
241,Brown_coal,2015,48827.8
242,Natural_gas,2015,50536.1
243,Oil_products,2015,5655.6
244,Other,2015,
245,Bagasse_wood,2015,2493.4
246,Biogas,2015,1296.5
247,Wind,2015,12199.5
248,Hydro,2015,15318.2
249,Large_scale_solar_PV,2015,457.2
250,Small_scale_solar_PV,2015,6381.0
251,Geothermal,2015,0.2
252,Black_coal,2016,118235.96
253,Brown_coal,2016,43594.1
254,Natural_gas,2016,50459.7
255,Oil_products,2016,5272.6
256,Other,2016,
257,Bagasse_wood,2016,2251.6
258,Biogas,2016,1249.0
259,Wind,2016,12597.0
260,Hydro,2016,16284.9
261,Large_scale_solar_PV,2016,672.4
262,Small_scale_solar_PV,2016,7399.3
263,Geothermal,2016,0.5
264,Black_coal,2017,121689.29
265,Brown_coal,2017,36021.4
266,Natural_gas,2017,53881.7
267,Oil_products,2017,4820.9
268,Other,2017,
269,Bagasse_wood,2017,2258.9
270,Biogas,2017,1258.8
271,Wind,2017,15174.4
272,Hydro,2017,16020.8
273,Large_scale_solar_PV,2017,1007.6
274,Small_scale_solar_PV,2017,8922.4
275,Geothermal,2017,
276,Black_coal,2018,119809.52
277,Brown_coal,2018,34495.2
278,Natural_gas,2018,52775.4
279,Oil_products,2018,4922.9
280,Other,2018,
281,Bagasse_wood,2018,2152.2
282,Biogas,2018,1343.6
283,Wind,2018,17712.0
284,Hydro,2018,15967.3
285,Large_scale_solar_PV,2018,3732.4
286,Small_scale_solar_PV,2018,11116.2
287,Geothermal,2018,
288,Black_coal,2019,111860.82
289,Brown_coal,2019,33661.5
290,Natural_gas,2019,55216.3
291,Oil_products,2019,4509.2
292,Other,2019,
293,Bagasse_wood,2019,1989.8
294,Biogas,2019,1361.9
295,Wind,2019,20395.9
296,Hydro,2019,15149.6
297,Large_scale_solar_PV,2019,7136.1
298,Small_scale_solar_PV,2019,13897.1
299,Geothermal,2019,
300,Black_coal,2020,106251.41
301,Brown_coal,2020,34060.0
302,Natural_gas,2020,49782.9
303,Oil_products,2020,4661.9
304,Other,2020,
305,Bagasse_wood,2020,1992.2
306,Biogas,2020,1354.0
307,Wind,2020,24535.4
308,Hydro,2020,15199.7
309,Large_scale_solar_PV,2020,9637.9
310,Small_scale_solar_PV,2020,18079.1
311,Geothermal,2020,
312,Black_coal,2021,101076.16
313,Brown_coal,2021,32515.6
314,Natural_gas,2021,49280.2
315,Oil_products,2021,4664.0
316,Other,2021,
317,Bagasse_wood,2021,1817.5
318,Biogas,2021,1372.8
319,Wind,2021,29107.8
320,Hydro,2021,17010.9
321,Large_scale_solar_PV,2021,12569.2
322,Small_scale_solar_PV,2021,22117.5
323,Geothermal,2021,
324,Black_coal,2022,96173.86
325,Brown_coal,2022,31459.1
326,Natural_gas,2022,48865.2
327,Oil_products,2022,4864.4
328,Other,2022,
329,Bagasse_wood,2022,1687.7
330,Biogas,2022,1405.1
331,Wind,2022,31384.9
332,Hydro,2022,16666.1
333,Large_scale_solar_PV,2022,16059.8
334,Small_scale_solar_PV,2022,25908.7
335,Geothermal,2022,
